Predicted,Actual
neutral,fear
disgust,surprise
disgust,happy
disgust,disgust
fear,sad
sad,sad
sad,sad
surprise,surprise
neutral,happy
happy,disgust
angry,angry
fear,fear
happy,fear
sad,disgust
disgust,disgust
fear,sad
disgust,disgust
surprise,surprise
neutral,angry
happy,angry
happy,happy
angry,angry
surprise,surprise
neutral,neutral
disgust,sad
disgust,disgust
happy,happy
neutral,neutral
happy,angry
disgust,angry
angry,happy
disgust,angry
neutral,fear
happy,sad
disgust,disgust
angry,happy
neutral,disgust
neutral,fear
surprise,surprise
disgust,sad
surprise,sad
happy,happy
angry,angry
disgust,happy
fear,fear
disgust,neutral
neutral,neutral
angry,angry
happy,happy
angry,angry
happy,angry
neutral,sad
sad,neutral
happy,sad
angry,angry
fear,fear
angry,angry
angry,angry
disgust,neutral
happy,surprise
fear,fear
sad,fear
angry,angry
sad,disgust
happy,happy
disgust,disgust
sad,sad
fear,fear
sad,sad
angry,angry
angry,disgust
fear,fear
sad,sad
neutral,happy
neutral,happy
angry,fear
neutral,neutral
disgust,sad
disgust,neutral
neutral,disgust
happy,happy
sad,fear
angry,angry
fear,fear
angry,disgust
angry,angry
sad,fear
disgust,fear
disgust,disgust
angry,angry
angry,angry
happy,angry
neutral,sad
angry,angry
happy,sad
happy,happy
angry,fear
neutral,neutral
happy,angry
sad,sad
fear,fear
sad,sad
sad,fear
happy,disgust
disgust,disgust
disgust,neutral
disgust,happy
disgust,fear
surprise,surprise
neutral,neutral
neutral,neutral
angry,disgust
neutral,disgust
neutral,neutral
sad,sad
fear,fear
sad,neutral
surprise,surprise
sad,neutral
disgust,angry
sad,sad
neutral,happy
disgust,disgust
neutral,neutral
happy,happy
disgust,sad
angry,happy
sad,sad
disgust,happy
neutral,neutral
neutral,neutral
angry,angry
happy,happy
angry,angry
angry,neutral
sad,sad
angry,angry
happy,happy
sad,sad
angry,angry
sad,neutral
happy,angry
angry,angry
surprise,surprise
sad,sad
happy,happy
sad,fear
angry,angry
fear,neutral
neutral,neutral
fear,neutral
neutral,neutral
disgust,fear
sad,disgust
sad,sad
happy,happy
sad,happy
sad,sad
neutral,neutral
angry,disgust
fear,fear
angry,angry
sad,sad
sad,sad
surprise,surprise
sad,sad
neutral,neutral
disgust,disgust
disgust,disgust
neutral,neutral
sad,sad
disgust,sad
sad,sad
disgust,disgust
fear,fear
disgust,neutral
sad,sad
happy,happy
sad,sad
surprise,surprise
fear,sad
happy,happy
neutral,fear
happy,happy
sad,sad
neutral,happy
disgust,sad
angry,happy
disgust,disgust
fear,fear
disgust,happy
sad,sad
